disease,dataset_name,formulation,diet_and_lifestyle_recommendations,prevention,herbs,medical_intervention
cough,Cough,"Ginger (2g), Honey (1 tsp)",Avoid cold foods; stay hydrated; consume warm liquids.,Avoid irritants,"Tulsi, Ashwagandha","Cough syrup, Antibiotics"
diabetes,Diabetes,Fenugreek (3g daily),Avoid sugary foods; focus on low-GI foods; regular exercise.,Regular exercise,"Jamun, Gudmar","Insulin, Oral meds"
hypertension,Hypertension,Ashwagandha (5g daily),Reduce salt; practice yoga and meditation; avoid spicy foods.,Salt restriction,"Ashwagandha, Arjuna",Antihypertensive meds
migraine,Migraine,Peppermint (2 drops in water),Maintain regular meal times; avoid bright lights; stay hydrated.,Stress management,"Brahmi, Jatamansi","Pain relievers, Botox"
arthritis,Arthritis,"Turmeric (1/2 tsp), Milk (200ml)",Consume anti-inflammatory foods; stay active; avoid cold exposure.,Weight management,"Ashwagandha, Guggul","NSAIDs, Steroids"
common cold,Common Cold,"Tulsi leaves (5), Ginger (1g)",Rest well; consume warm foods; avoid dairy temporarily.,"Good hygiene, Rest","Tulsi, Ginger","Decongestants, Rest"
indigestion,Indigestion,"Ajwain seeds (1 tsp), Water (200ml)",Avoid processed foods; eat smaller meals; stay active.,"Eat small meals, Avoid triggers","Triphala, Ajwain","Antacids, PPIs"
asthma,Asthma,"Mulethi (1/2 tsp), Honey (1 tsp)",Avoid cold and dusty environments; practice breathing exercises.,Avoid allergens,"Ashwagandha, Tulsi","Inhalers, Steroids"
constipation,Constipation,"Triphala (1 tsp), Warm water (200ml)",Increase fiber intake; stay hydrated; practice regular bowel routines.,"Drink water, fiber-rich foods","Triphala, Isabgol","Laxatives, Fiber supplements"
insomnia,Insomnia,"Brahmi (1 tsp), Warm milk (200ml)",Establish a sleep routine; avoid caffeine; practice meditation.,"Sleep routine, Relaxation","Ashwagandha, Jatamansi","Sleep aids, CBT therapy"
obesity,Obesity,"Guggulu (500mg), Warm water (200ml)",Avoid heavy and oily foods; focus on exercise; eat light dinners.,"Exercise, Diet control","Guggul, Triphala",Weight loss medications
skin allergy,Skin Allergy,"Aloe vera gel (fresh, 2 tsp)",Avoid allergens; wear loose clothing; consume cooling foods.,Avoid allergens,"Neem, Tulsi","Antihistamines, Steroids"
anxiety,Anxiety,"Ashwagandha (1 tsp), Tulsi (5 leaves)",Practice yoga; avoid stimulants; focus on mindfulness.,"Stress management, Exercise","Brahmi, Ashwagandha","Antidepressants, CBT"
fever,Fever,"Coriander seeds (1 tsp), Ginger (1g)","Rest; stay hydrated; consume light, warm meals.","Rest, Hydration","Tulsi, Ginger","Antipyretics, Fluids"
acidity,Acidity,"Aloe vera (10ml), Water (200ml)",Avoid spicy foods; eat cooling foods like cucumber.,"Avoid spicy foods, smaller meals","Amla, Ajwain","Antacids, PPIs"
acne,Acne,"Neem leaves (5g), Water (10ml)",Avoid fried foods; include turmeric and green vegetables.,"Clean skin, avoid triggers","Neem, Turmeric","Topical treatments, Antibiotics"
acromegaly,Acromegaly,Ashwagandha (3g daily),"Avoid heavy meals; consume balanced, nutrient-rich foods.",Regular check-ups,"Ashwagandha, Brahmi","Surgery, Medication"
